Layer,Model,Description
Architecture of Systems,Self-Organization,Order emerges from local interactions without central control.
Architecture of Systems,Butterfly Effect,Tiny initial differences can lead to huge outcome differences.
Architecture of Systems,Adjacent Possible,Space of possibilities just one step away from current reality.
Architecture of Systems,Criticality,State at the tipping point between stability and runaway change.
Architecture of Systems,Resilience vs Robustness,Resilience bends and recovers; robustness resists change without adapting.
Design & Urban Systems,Pace Layers,Different layers of systems change at different speeds.
Design & Urban Systems,Defensible Space,Built environments can discourage crime through design.
Design & Urban Systems,Form Follows Function,Design should primarily reflect intended purpose.
Design & Urban Systems,Broken Windows,Visible disorder invites more disorder and crime.
Design & Urban Systems,CPTED,Crime Prevention Through Environmental Design.
Design & Urban Systems,Universal Design,Design for accessibility by default to include as many users as possible.
Design & Urban Systems,Biophilia,Humans prefer environments with natural elements.
Design & Urban Systems,Choice Architecture,Structuring choices to influence decisions without removing freedom.
Design & Urban Systems,Wayfinding,How people navigate and orient themselves in spaces.
Design & Urban Systems,Grandfathering,Old rules continue to apply to existing cases when regulations change.
Design & Urban Systems,Lindy Effect,Non-perishable things that have lasted longer tend to last longer still.
Design & Urban Systems,Chindogu,"Playful, impractical inventions that highlight hidden constraints."
